ID,Word,Japanese Meaning,Before Example,Before Example JP,After UX Example,After UX Example JP,Status,Notes
3175,streamline,を合理化する；流線型にする,Researchers collaborated internationally to streamline a comprehensive database of at-risk ecosystems.,研究者たちは危機に瀕した生態系の包括的なデータベース構築のため国際的に連携した。,"The UX designer used the term ""streamline"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「streamline」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3176,succumb,屈服する；負ける,Researchers collaborated internationally to succumb a comprehensive database of at-risk ecosystems.,研究者たちは危機に瀕した生態系の包括的なデータベース構築のため国際的に連携した。,"The UX designer used the term ""succumb"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「succumb」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3177,stratosphere,成層圏,Stratosphere is increasingly recognised as one of the most critical factors shaping modern policy debates.,近代的な政策議論を形成する最も重要な要素の一つとして広く認識されている。,The UX designer documented the stratosphere in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する成層圏を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3178,anecdotal,逸話的な；証言に基づく,The economic consequences of the policy change were anecdotal across all major demographic groups.,政策変更の経済的影響は全ての主要な人口統計グループに及んだ。,"The UX designer used the term ""anecdotal"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「anecdotal」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3186,subterranean,地下の；地中の,Researchers emphasise the growing significance of subterranean in determining long-term health outcomes.,研究者たちは長期的な健康状態を決定する上でその重要性の高まりを強調している。,The UX designer documented the subterranean in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する地下の、地中のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3187,torrential,豪雨の；激しい,The economic consequences of the policy change were torrential across all major demographic groups.,政策変更の経済的影響は全ての主要な人口統計グループに及んだ。,The UX designer wrote a torrential note about the account setup flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アカウント設定フローについて「豪雨の、激しい」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
3188,sanitation,衛生；下水設備,The report identifies sanitation as a critical variable in understanding patterns of social inequality.,報告書は社会的不平等のパターンを理解する上で重要な変数として特定している。,The UX designer documented the sanitation in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する衛生、下水設備を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3189,encase,を包む；収める,The consequences of inadequate encase are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,"The UX designer used the term ""encase"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「encase」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3190,cub,子熊；見習い,Advances in cub have fundamentally transformed the way modern societies communicate and work.,現代社会が情報発信や仕事をする方法を根本的に変えた。,The UX designer documented the cub in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する子熊、見習いを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3191,snip,を切り取る；小さな切り傷,Access to snip remains deeply unequal among nations at different stages of economic development.,経済発展の異なる段階にある国々の間でアクセスは大きく不平等なままだ。,"The UX designer used the term ""snip"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「snip」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3193,insatiable,飽くことのない；貪欲な,Researchers concluded that the initial findings were insatiable and warranted immediate further investigation.,初期の知見は重要であり即座のさらなる調査が必要と結論づけられた。,"The UX designer used the term ""insatiable"" when describing how to improve the navigation model.",UXデザイナーは、ナビゲーションモデルを改善する方法を説明する際に「insatiable」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3194,augment,増やす；増強する,A augment research methodology is essential for ensuring the reliability and validity of outcomes.,信頼性の高い結果を確保するために厳格な研究方法論が不可欠だ。,"The UX designer used the term ""augment"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「augment」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3195,reciprocity,相互性；互恵主義,The consequences of inadequate reciprocity are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,The UX designer documented the reciprocity in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する相互性、互恵主義を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3196,replicate,を複製する；繰り返す,The government aims to replicate equitable access to quality education in all communities.,政府は恵まれていないコミュニティで質の高い教育への公平なアクセスを確保することを目指している。,"The UX designer used the term ""replicate"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「replicate」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3197,clutter,散らかす；雑然,A marked rise in clutter has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,"The UX designer used the term ""clutter"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「clutter」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3198,dilapidated,老朽化した；荒廃した,The consequences of inadequate dilapidated are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,The UX designer documented the dilapidated in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する老朽化した、荒廃したを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3199,adjunct,付属物；補助的な,Investment in adjunct is widely regarded as key to achieving sustainable long-term development.,持続可能な長期的発展を達成する鍵として広く考えられている。,The UX designer wrote a adjunct note about the design system in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインシステムについて「付属物、補助的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
3200,sag,たるむ；下垂する,The consequences of inadequate sag are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,"The UX designer used the term ""sag"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「sag」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3201,fledgling,駆け出しの；巣立ち前の,"The fledgling company struggled at first, but it soon found a loyal customer base.",その駆け出しの会社は最初は苦戦したが、やがて熱心な顧客層を見つけた。,The fledgling design system still needed clearer component guidelines.,駆け出しのデザインシステムには、より明確なコンポーネントガイドラインがまだ必要だった。,初稿レビュー待ち,UX職務文脈にリライト
3202,threefold,3倍の；三重の,Effective management of threefold is essential for preserving ecological and economic stability.,生態学的・経済的安定を維持するために効果的な管理が不可欠だ。,The UX designer documented the threefold in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する3倍の、三重のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3203,preponderance,優勢；大多数,The relationship between preponderance and long-term economic productivity has been extensively documented.,長期的な経済生産性との関係は幅広く記録されている。,The UX designer documented the preponderance in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する優勢、大多数を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3204,primaeval,原始的な；太古の,The government's initial response was widely criticised for being insufficiently primaeval and timely.,政府の当初の対応は不十分で適時性を欠くと広く批判された。,The UX designer wrote a primaeval note about the research summary in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、リサーチ要約について「原始的な、太古の」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
3207,naval,海軍の,Researchers concluded that the initial findings were naval and warranted immediate further investigation.,初期の知見は重要であり即座のさらなる調査が必要と結論づけられた。,The UX designer documented the naval in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する海軍のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3210,blight,枯らす；害；災い,The report identifies blight as a critical variable in understanding patterns of social inequality.,報告書は社会的不平等のパターンを理解する上で重要な変数として特定している。,"The UX designer used the term ""blight"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「blight」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3211,chum,親友；仲間,Greater public awareness of chum is considered essential for driving meaningful behavioural change.,意味のある行動変容を促進するために公衆の認識向上が不可欠とされている。,The UX designer documented the chum in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する親友、仲間を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3213,scourge,天罰；を苦しめる,The report identifies scourge as a critical variable in understanding patterns of social inequality.,報告書は社会的不平等のパターンを理解する上で重要な変数として特定している。,"The UX designer used the term ""scourge"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「scourge」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3214,infest,に群がる；はびこる,Effective management of infest is essential for preserving ecological and economic stability.,生態学的・経済的安定を維持するために効果的な管理が不可欠だ。,The UX designer documented the infest in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関するに群がる、はびこるを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3215,damning,重大な；決定的な,The study identified a damning and statistically significant link between air quality and respiratory illness.,大気の質と呼吸器疾患の間に統計的に有意な関連が確認された。,The UX designer wrote a damning note about the design system in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインシステムについて「重大な、決定的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
3216,elucidate,を解明する；説明する,Health authorities are working to elucidate the cross-border spread of infectious diseases.,保健当局は国境を越えた感染症の拡大防止に取り組んでいる。,"The UX designer used the term ""elucidate"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「elucidate」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3217,altruistic,利他的な,The economic consequences of the policy change were altruistic across all major demographic groups.,政策変更の経済的影響は全ての主要な人口統計グループに及んだ。,The UX designer wrote a altruistic note about the checkout form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、チェックアウトフォームについて「利他的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
3218,institutionalise,を制度化する,Scientists continue to institutionalise more sustainable and cost-effective methods of food production.,科学者たちはより持続可能で費用対効果の高い食料生産方法の開発を続けている。,"The UX designer used the term ""institutionalise"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「institutionalise」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3220,intertwine,絡み合う；からみ合わせる,Effective management of intertwine is essential for preserving ecological and economic stability.,生態学的・経済的安定を維持するために効果的な管理が不可欠だ。,The UX designer documented the intertwine in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する絡み合う、からみ合わせるを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3221,curtail,削減する；制限する；縮小する,Researchers curtail longitudinal data to assess the long-term effects on public health.,研究者たちは公衆衛生への長期的影響を評価するため、縦断的データを分析した。,"The UX designer used the term ""curtail"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「curtail」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3222,malevolent,悪意のある；邪悪な,Researchers concluded that the initial findings were malevolent and warranted immediate further investigation.,初期の知見は重要であり即座のさらなる調査が必要と結論づけられた。,The UX designer wrote a malevolent note about the prototype test in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、プロトタイプテストについて「悪意のある、邪悪な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
3223,prohibitive,法外な；禁止的な,Researchers described the rate of habitat destruction as prohibitive and in urgent need of intervention.,研究者たちはその割合を深刻であり緊急の介入が必要であると述べた。,The UX designer wrote a prohibitive note about the content guideline in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、コンテンツガイドラインについて「法外な、禁止的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
3224,appreciably,かなり；著しく,The researchers appreciably acknowledged the limitations arising from the restricted sample size.,研究者たちはサンプルサイズの制限から生じる限界を正直に認めた。,"The UX designer used the term ""appreciably"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「appreciably」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3225,deviate,逸脱する；はずれる,Policymakers must deviate the social consequences of rapid automation in manufacturing.,政策立案者は製造業における急速な自動化の社会的影響に対処しなければならない。,"The UX designer used the term ""deviate"" when describing how to improve the navigation model.",UXデザイナーは、ナビゲーションモデルを改善する方法を説明する際に「deviate」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3227,reiterate,繰り返し言う,Technologists are working to reiterate the efficiency and affordability of solar energy storage.,技術者たちは太陽エネルギー貯蔵の効率と費用対効果の向上に取り組んでいる。,The UX designer documented the reiterate in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する繰り返し言うを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3228,ventilate,を換気する,Health authorities are working to ventilate the cross-border spread of infectious diseases.,保健当局は国境を越えた感染症の拡大防止に取り組んでいる。,"The UX designer used the term ""ventilate"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「ventilate」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3229,impede,を妨げる；阻止する,"The debate over impede continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,"The UX designer used the term ""impede"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「impede」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3230,sledge,そり,"The debate over sledge continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer documented the sledge in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関するそりを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3234,taxonomy,分類学；分類体系,"Without adequate taxonomy, sustainable development goals are unlikely to be met on time.",適切な支援がなければ、持続可能な開発目標は時間内に達成されないだろう。,The UX designer documented the taxonomy in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する分類学、分類体系を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3235,transitory,一時的な；はかない,The economic consequences of the policy change were transitory across all major demographic groups.,政策変更の経済的影響は全ての主要な人口統計グループに及んだ。,The UX designer wrote a transitory note about the account setup flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アカウント設定フローについて「一時的な、はかない」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
3236,circumscribe,を制限する；囲む,The government aims to circumscribe equitable access to quality education in all communities.,政府は恵まれていないコミュニティで質の高い教育への公平なアクセスを確保することを目指している。,"The UX designer used the term ""circumscribe"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「circumscribe」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3237,gullible,だまされやすい,A gullible and evidence-based approach to urban planning can help reduce inequality significantly.,証拠に基づいたアプローチは不平等を大幅に削減する上で役立つ可能性がある。,"The UX designer used the term ""gullible"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「gullible」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3240,forgo,を断念する；放棄する,The study was designed to forgo the relationship between urbanisation and quality of life.,この研究は都市化と生活の質の関係を調べることを目的に設計された。,"The UX designer used the term ""forgo"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「forgo」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3241,quirk,奇癖；突然の変化,The relationship between quirk and long-term economic productivity has been extensively documented.,長期的な経済生産性との関係は幅広く記録されている。,The UX designer documented the quirk in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する奇癖、突然の変化を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3243,forage,を探し回る；飼料,"The debate over forage continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,"The UX designer used the term ""forage"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「forage」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3244,regimen,養生法；規律ある生活,A marked rise in regimen has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,The UX designer wrote a regimen note about the error message in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、エラーメッセージについて「養生法、規律ある生活」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
3245,entwine,を絡み合わせる,Advances in entwine have fundamentally transformed the way modern societies communicate and work.,現代社会が情報発信や仕事をする方法を根本的に変えた。,"The UX designer used the term ""entwine"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「entwine」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3246,odyssey,長い旅；遍歴,Odyssey is increasingly recognised as one of the most critical factors shaping modern policy debates.,近代的な政策議論を形成する最も重要な要素の一つとして広く認識されている。,The UX designer documented the odyssey in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する長い旅、遍歴を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3247,froth,泡；泡立つ,A marked rise in froth has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,"The UX designer used the term ""froth"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「froth」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3248,introspection,内省；自己反省,Improving introspection has become a central objective of international development organisations.,向上させることが国際開発機関の中心的な目標となっている。,The UX designer documented the introspection in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する内省、自己反省を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3252,appease,をなだめる；をなだめすかす,The consequences of inadequate appease are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,"The UX designer used the term ""appease"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「appease」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3253,herbivore,草食動物,Herbivore is increasingly recognised as one of the most critical factors shaping modern policy debates.,近代的な政策議論を形成する最も重要な要素の一つとして広く認識されている。,The UX designer documented the herbivore in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する草食動物を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3254,autism,自閉症,A marked rise in autism has been documented across both developed and developing economies.,先進国と途上国の両方で、顕著な増加が記録されている。,The UX designer documented the autism in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する自閉症を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3255,lingua franca,共通語；リンガフランカ,Investment in lingua franca is widely regarded as key to achieving sustainable long-term development.,持続可能な長期的発展を達成する鍵として広く考えられている。,"The UX designer noted how ""lingua franca"" appears in the content guideline.",UXデザイナーは、コンテンツガイドラインの中で「lingua franca」がどのように現れるかを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3257,predisposition,素因；傾向,Advances in predisposition have fundamentally transformed the way modern societies communicate and work.,現代社会が情報発信や仕事をする方法を根本的に変えた。,The UX designer documented the predisposition in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する素因、傾向を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3258,teem,あふれる；充満する,The consequences of inadequate teem are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,"The UX designer used the term ""teem"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「teem」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3259,dampen,を湿らせる；弱める,"Without adequate dampen, sustainable development goals are unlikely to be met on time.",適切な支援がなければ、持続可能な開発目標は時間内に達成されないだろう。,"The UX designer used the term ""dampen"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「dampen」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3260,reroute,を迂回させる；別ルートを取る,International organisations work together to reroute cooperation on climate adaptation.,国際機関は気候変動への適応に関する協力体制構築に向けて取り組んでいる。,"The UX designer used the term ""reroute"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「reroute」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3266,dehydration,脱水；乾燥,Investment in dehydration is widely regarded as key to achieving sustainable long-term development.,持続可能な長期的発展を達成する鍵として広く考えられている。,The UX designer documented the dehydration in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する脱水、乾燥を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3267,disseminate,を普及させる；広める,Researchers collaborated internationally to disseminate a comprehensive database of at-risk ecosystems.,研究者たちは危機に瀕した生態系の包括的なデータベース構築のため国際的に連携した。,"The UX designer used the term ""disseminate"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「disseminate」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3268,downpour,土砂降り,"The debate over downpour continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer documented the downpour in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する土砂降りを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3269,fickle,気まぐれな；変わりやすい,Researchers described the rate of habitat destruction as fickle and in urgent need of intervention.,研究者たちはその割合を深刻であり緊急の介入が必要であると述べた。,"The UX designer used the term ""fickle"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「fickle」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3275,daunt,を怖気づかせる；挫折させる,Access to daunt remains deeply unequal among nations at different stages of economic development.,経済発展の異なる段階にある国々の間でアクセスは大きく不平等なままだ。,"The UX designer used the term ""daunt"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「daunt」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3276,aquaculture,水産養殖,Advances in aquaculture have fundamentally transformed the way modern societies communicate and work.,現代社会が情報発信や仕事をする方法を根本的に変えた。,The UX designer documented the aquaculture in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する水産養殖を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3278,herbalism,薬草学；ハーブ療法,"Without adequate herbalism, sustainable development goals are unlikely to be met on time.",適切な支援がなければ、持続可能な開発目標は時間内に達成されないだろう。,The UX designer wrote a herbalism note about the mobile form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、モバイルフォームについて「薬草学、ハーブ療法」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
3279,kaleidoscope,万華鏡；変化に富む光景,The consequences of inadequate kaleidoscope are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,"The UX designer used the term ""kaleidoscope"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「kaleidoscope」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3280,propagate,広める,The organisation is seeking to propagate equitable access to clean water in developing regions.,その組織は発展途上地域でのきれいな水への公平なアクセスを確保することを求めている。,"The UX designer used the term ""propagate"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「propagate」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3281,dilate,を拡張する；広がる,The organisation is seeking to dilate equitable access to clean water in developing regions.,その組織は発展途上地域でのきれいな水への公平なアクセスを確保することを求めている。,"The UX designer used the term ""dilate"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「dilate」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3282,concave,凹形の；くぼんだ,The consequences of inadequate concave are felt most severely by the most vulnerable populations.,最も脆弱な人々が最も深刻にその影響を受けている。,"The UX designer used the term ""concave"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「concave」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3283,fluctuate,変動する,Economists regularly fluctuate national output data to identify trends in economic performance.,経済学者たちは経済パフォーマンスの動向を把握するため、国内総生産データを定期的に分析している。,"The UX designer used the term ""fluctuate"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「fluctuate」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3285,recline,をもたせかける；横たわる,The relationship between recline and long-term economic productivity has been extensively documented.,長期的な経済生産性との関係は幅広く記録されている。,"The UX designer used the term ""recline"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「recline」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
3286,mannerism,癖；マンネリズム,The report identifies mannerism as a critical variable in understanding patterns of social inequality.,報告書は社会的不平等のパターンを理解する上で重要な変数として特定している。,The UX designer documented the mannerism in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する癖、マンネリズムを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3287,adage,格言；ことわざ,Access to adage remains deeply unequal among nations at different stages of economic development.,経済発展の異なる段階にある国々の間でアクセスは大きく不平等なままだ。,The UX designer documented the adage in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する格言、ことわざを記録した。,初稿レビュー待ち,UX職務文脈にリライト
3288,echolocation,反響定位,"The debate over echolocation continues to divide leading economists, scientists, and policymakers.",その議論は主要な経済学者、科学者、政策立案者の間で分かれ続けている。,The UX designer documented the echolocation in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する反響定位を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3291,vertebrate,脊椎動物,Researchers collaborated internationally to vertebrate a comprehensive database of at-risk ecosystems.,研究者たちは危機に瀕した生態系の包括的なデータベース構築のため国際的に連携した。,The UX designer documented the vertebrate in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する脊椎動物を記録した。,初稿レビュー待ち,UX職務文脈にリライト
3292,avidly,熱心に；貪欲に,The policy reforms were avidly implemented in phases to minimise disruption to existing systems.,政策改革は既存システムへの混乱を最小限に抑えるため段階的に実施された。,The UX designer documented the avidly in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する熱心に、貪欲にを記録した。,初稿レビュー待ち,UX職務文脈にリライト
