ID,単語 Word,発音記号,品詞,難易度 CEFR,カテゴリ,日本語訳,例文 Example,例文訳,語源・語根,接頭辞,類義語 Synonyms,反義語 Antonyms,IELTS頻度,英検頻度,大学入試頻度,総合優先度
2797,ambivalent,,形,,IELTS VOCAB,両面価値的な；曖昧な,The UX designer wrote a ambivalent note about the confirmation screen in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、確認画面について「両面価値的な、曖昧な」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2798,barbed,,形,,IELTS VOCAB,とげのある；辛辣な,The UX designer wrote a barbed note about the mobile form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、モバイルフォームについて「とげのある、辛辣な」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2799,denote,,動/句,,IELTS VOCAB,を示す；意味する,"The UX designer used the term ""denote"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「denote」という語を使った。,,,,,★☆☆,,,🟡 標準
2800,amenity,,名/他,,IELTS VOCAB,設備；快適さ,The UX designer documented the amenity in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する設備、快適さを記録した。,,,,,★☆☆,,,🟡 標準
2801,dilute,,動/句,,IELTS VOCAB,を薄める；希釈する,"The UX designer used the term ""dilute"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「dilute」という語を使った。,,,,,★☆☆,,,🟡 標準
2802,fragrant,,名/他,,IELTS VOCAB,香りのよい,The UX designer documented the fragrant in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する香りのよいを記録した。,,,,,★☆☆,,,🟡 標準
2803,flimsy,,形,,IELTS VOCAB,薄っぺらな；弱い,The UX designer wrote a flimsy note about the account setup flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アカウント設定フローについて「薄っぺらな、弱い」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2804,idiosyncratic,,形,,IELTS VOCAB,特異な；独特の,The UX designer wrote a idiosyncratic note about the research summary in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、リサーチ要約について「特異な、独特の」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2805,pore,,動/句,,IELTS VOCAB,毛穴；を熟読する,"The UX designer used the term ""pore"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「pore」という語を使った。,,,,,★☆☆,,,🟡 標準
2806,courtship,,名/他,,IELTS VOCAB,求愛；交際,The UX designer documented the courtship in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する求愛、交際を記録した。,,,,,★☆☆,,,🟡 標準
2807,empathy,,名/他,,IELTS VOCAB,共感；感情移入,The UX designer documented the empathy in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する共感、感情移入を記録した。,,,,,★☆☆,,,🟡 標準
2808,counteract,,動/句,,IELTS VOCAB,に対抗する；を打ち消す,"The UX designer used the term ""counteract"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「counteract」という語を使った。,,,,,★☆☆,,,🟡 標準
2809,bolster,,動/句,,IELTS VOCAB,を強化する；支える,"The UX designer used the term ""bolster"" when describing how to improve the navigation model.",UXデザイナーは、ナビゲーションモデルを改善する方法を説明する際に「bolster」という語を使った。,,,,,★☆☆,,,🟡 標準
2810,adept,,形,,IELTS VOCAB,熟練した；巧みな,The UX designer wrote a adept note about the dashboard layout in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、ダッシュボードレイアウトについて「熟練した、巧みな」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2811,converse,,動/句,,IELTS VOCAB,会話する；逆の,"The UX designer used the term ""converse"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「converse」という語を使った。,,,,,★☆☆,,,🟡 標準
2812,backlash,,名/他,,IELTS VOCAB,反発；強い反動,The UX designer documented the backlash in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する反発、強い反動を記録した。,,,,,★☆☆,,,🟡 標準
2813,assortment,,名/他,,IELTS VOCAB,詰め合わせ；種々混合,The UX designer documented the assortment in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する詰め合わせ、種々混合を記録した。,,,,,★☆☆,,,🟡 標準
2814,phantom,,名/他,,IELTS VOCAB,幻影；幽霊,The UX designer documented the phantom in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する幻影、幽霊を記録した。,,,,,★☆☆,,,🟡 標準
2815,acclaim,,動/句,,IELTS VOCAB,を称賛する；喝采,"The UX designer used the term ""acclaim"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「acclaim」という語を使った。,,,,,★☆☆,,,🟡 標準
2816,nomadic,,動/句,,IELTS VOCAB,遊牧の；放浪する,"The UX designer used the term ""nomadic"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「nomadic」という語を使った。,,,,,★☆☆,,,🟡 標準
2817,shuffle,,動/句,,IELTS VOCAB,を混ぜる；足を引きずる,"The UX designer used the term ""shuffle"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「shuffle」という語を使った。,,,,,★☆☆,,,🟡 標準
2818,evade,,動/句,,IELTS VOCAB,を逃れる；回避する,"The UX designer used the term ""evade"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「evade」という語を使った。,,,,,★☆☆,,,🟡 標準
2819,mentor,,名/他,,IELTS VOCAB,指導者；メンター,The UX designer documented the mentor in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する指導者、メンターを記録した。,,,,,★☆☆,,,🟡 標準
2820,disfigure,,動/句,,IELTS VOCAB,を見苦しくする；損なう,"The UX designer used the term ""disfigure"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「disfigure」という語を使った。,,,,,★☆☆,,,🟡 標準
2821,camouflage,,名/他,,IELTS VOCAB,カモフラージュ,The UX designer documented the camouflage in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関するカモフラージュを記録した。,,,,,★☆☆,,,🟡 標準
2822,pleasurable,,名/他,,IELTS VOCAB,楽しい；快い,The UX designer wrote a pleasurable note about the prototype test in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、プロトタイプテストについて「楽しい、快い」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2823,intrigue,,動/句,,IELTS VOCAB,を興味持たせる；陰謀,"The UX designer used the term ""intrigue"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「intrigue」という語を使った。,,,,,★☆☆,,,🟡 標準
2824,astronomical,,形,,IELTS VOCAB,天文学的な；膨大な,The UX designer wrote a astronomical note about the accessibility audit in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アクセシビリティ監査について「天文学的な、膨大な」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2825,deteriorate,,動/句,,IELTS VOCAB,悪化する；劣化する,"The UX designer used the term ""deteriorate"" when describing how to improve the navigation model.",UXデザイナーは、ナビゲーションモデルを改善する方法を説明する際に「deteriorate」という語を使った。,,,,,★☆☆,,,🟡 標準
2826,flex,,動/句,,IELTS VOCAB,を曲げる；柔軟性,"The UX designer used the term ""flex"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「flex」という語を使った。,,,,,★☆☆,,,🟡 標準
2827,facade,,名/他,,IELTS VOCAB,正面；見せかけ,The UX designer documented the facade in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する正面、見せかけを記録した。,,,,,★☆☆,,,🟡 標準
2828,utilitarian,,形,,IELTS VOCAB,実用的な；功利主義の,The UX designer wrote a utilitarian note about the error message in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、エラーメッセージについて「実用的な、功利主義の」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2829,verify,,動/句,,IELTS VOCAB,確認する；検証する,"The UX designer used the term ""verify"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「verify」という語を使った。,,,,,★☆☆,,,🟡 標準
2830,flaw,,名/他,,IELTS VOCAB,欠点；傷,The UX designer documented the flaw in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する欠点、傷を記録した。,,,,,★☆☆,,,🟡 標準
2831,eradicate,,動/句,,IELTS VOCAB,を根絶する,"The UX designer used the term ""eradicate"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「eradicate」という語を使った。,,,,,★☆☆,,,🟡 標準
2832,mimic,,動/句,,IELTS VOCAB,をまねる；物まね,"The UX designer used the term ""mimic"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「mimic」という語を使った。,,,,,★☆☆,,,🟡 標準
2833,tenuous,,形,,IELTS VOCAB,薄い；脆弱な,The UX designer wrote a tenuous note about the checkout form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、チェックアウトフォームについて「薄い、脆弱な」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2834,antibiotic,,名/他,,IELTS VOCAB,抗生物質,The UX designer documented the antibiotic in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する抗生物質を記録した。,,,,,★☆☆,,,🟡 標準
2835,disperse,,動/句,,IELTS VOCAB,を分散させる；散らばる,"The UX designer used the term ""disperse"" when describing how to improve the account setup flow.",UXデザイナーは、アカウント設定フローを改善する方法を説明する際に「disperse」という語を使った。,,,,,★☆☆,,,🟡 標準
2836,outweigh,,動/句,,IELTS VOCAB,〜より重要である；勝る,The UX designer wrote a outweigh note about the research summary in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、リサーチ要約について「より重要である、勝る」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2837,psyche,,名/他,,IELTS VOCAB,心；精神,The UX designer documented the psyche in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する心、精神を記録した。,,,,,★☆☆,,,🟡 標準
2838,arduous,,名/他,,IELTS VOCAB,骨の折れる,The UX designer documented the arduous in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する骨の折れるを記録した。,,,,,★☆☆,,,🟡 標準
2839,elicit,,動/句,,IELTS VOCAB,を引き出す；を誘発する,"The UX designer used the term ""elicit"" when describing how to improve the content guideline.",UXデザイナーは、コンテンツガイドラインを改善する方法を説明する際に「elicit」という語を使った。,,,,,★☆☆,,,🟡 標準
2840,whim,,名/他,,IELTS VOCAB,気まぐれ；ひょっとした思いつき,"The UX designer used the term ""whim"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「whim」という語を使った。,,,,,★☆☆,,,🟡 標準
2842,disproportionately,,名/他,,IELTS VOCAB,不釣り合いに,The UX designer documented the disproportionately in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する不釣り合いにを記録した。,,,,,★☆☆,,,🟡 標準
2843,superfluous,,形,,IELTS VOCAB,余分な；必要以上の,The UX designer wrote a superfluous note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「余分な、必要以上の」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2845,erroneous,,名/他,,IELTS VOCAB,誤った,The UX designer documented the erroneous in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する誤ったを記録した。,,,,,★☆☆,,,🟡 標準
2846,usher,,動/句,,IELTS VOCAB,に案内する；案内係,"The UX designer used the term ""usher"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「usher」という語を使った。,,,,,★☆☆,,,🟡 標準
2847,rectify,,動/句,,IELTS VOCAB,是正する；修正する,"The UX designer used the term ""rectify"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「rectify」という語を使った。,,,,,★☆☆,,,🟡 標準
2848,iceberg,,名/他,,IELTS VOCAB,氷山,The UX designer documented the iceberg in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する氷山を記録した。,,,,,★☆☆,,,🟡 標準
2849,murky,,名/他,,IELTS VOCAB,濁った；暗い,The UX designer documented the murky in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する濁った、暗いを記録した。,,,,,★☆☆,,,🟡 標準
2850,instantaneous,,形,,IELTS VOCAB,即座の；瞬間的な,The UX designer wrote a instantaneous note about the settings page in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、設定画面について「即座の、瞬間的な」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2852,footage,,名/他,,IELTS VOCAB,映像；フィート数,The UX designer documented the footage in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する映像、フィート数を記録した。,,,,,★☆☆,,,🟡 標準
2853,allergy,,名/他,,IELTS VOCAB,アレルギー,The UX designer documented the allergy in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関するアレルギーを記録した。,,,,,★☆☆,,,🟡 標準
2854,foetus,,名/他,,IELTS VOCAB,胎児,The UX designer documented the foetus in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する胎児を記録した。,,,,,★☆☆,,,🟡 標準
2855,resilience,,名/他,,IELTS VOCAB,回復力；弾力性,The UX designer documented the resilience in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する回復力、弾力性を記録した。,,,,,★☆☆,,,🟡 標準
2856,deduce,,動/句,,IELTS VOCAB,を推定する,"The UX designer used the term ""deduce"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「deduce」という語を使った。,,,,,★☆☆,,,🟡 標準
2857,deceptive,,形,,IELTS VOCAB,欺瞞的な；紛らわしい,The UX designer wrote a deceptive note about the navigation model in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、ナビゲーションモデルについて「欺瞞的な、紛らわしい」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2859,uncanny,,形,,IELTS VOCAB,不思議な；超自然的な,The UX designer wrote a uncanny note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「不思議な、超自然的な」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2860,retard,,動/句,,IELTS VOCAB,を遅らせる；を妨げる,"The UX designer used the term ""retard"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「retard」という語を使った。,,,,,★☆☆,,,🟡 標準
2861,pendulum,,名/他,,IELTS VOCAB,振り子,The UX designer documented the pendulum in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する振り子を記録した。,,,,,★☆☆,,,🟡 標準
2862,stagnant,,名/他,,IELTS VOCAB,停滞した；よどんだ,The UX designer documented the stagnant in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する停滞した、よどんだを記録した。,,,,,★☆☆,,,🟡 標準
2863,collaborate,,動/句,,IELTS VOCAB,協力する；共同作業する,"The UX designer used the term ""collaborate"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「collaborate」という語を使った。,,,,,★☆☆,,,🟡 標準
2864,observatory,,名/他,,IELTS VOCAB,天文台；観測所,The UX designer documented the observatory in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する天文台、観測所を記録した。,,,,,★☆☆,,,🟡 標準
2866,avert,,動/句,,IELTS VOCAB,をそらす；を回避する,"The UX designer used the term ""avert"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「avert」という語を使った。,,,,,★☆☆,,,🟡 標準
2867,boulevard,,名/他,,IELTS VOCAB,大通り；並木道,The UX designer documented the boulevard in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する大通り、並木道を記録した。,,,,,★☆☆,,,🟡 標準
2868,deploy,,動/句,,IELTS VOCAB,を展開する；配備する,"The UX designer used the term ""deploy"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「deploy」という語を使った。,,,,,★☆☆,,,🟡 標準
2869,conjunction,,名/他,,IELTS VOCAB,接続詞；結合,The UX designer documented the conjunction in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する接続詞、結合を記録した。,,,,,★☆☆,,,🟡 標準
2870,treatise,,名/他,,IELTS VOCAB,論文；学術書,The UX designer documented the treatise in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する論文、学術書を記録した。,,,,,★☆☆,,,🟡 標準
2871,collateral,,形,,IELTS VOCAB,付随的な；担保,The UX designer wrote a collateral note about the content guideline in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、コンテンツガイドラインについて「付随的な、担保」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2873,revulsion,,名/他,,IELTS VOCAB,強い嫌悪感,The UX designer documented the revulsion in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する強い嫌悪感を記録した。,,,,,★☆☆,,,🟡 標準
2874,sewer,,名/他,,IELTS VOCAB,下水道；縫い手,The UX designer documented the sewer in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する下水道、縫い手を記録した。,,,,,★☆☆,,,🟡 標準
2875,conjecture,,名/他,,IELTS VOCAB,推測；憶測,The UX designer documented the conjecture in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する推測、憶測を記録した。,,,,,★☆☆,,,🟡 標準
2876,heave,,動/句,,IELTS VOCAB,を持ち上げる；うねり,"The UX designer used the term ""heave"" when describing how to improve the error message.",UXデザイナーは、エラーメッセージを改善する方法を説明する際に「heave」という語を使った。,,,,,★☆☆,,,🟡 標準
2877,mistrust,,名/他,,IELTS VOCAB,不信；を疑う,"The UX designer used the term ""mistrust"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「mistrust」という語を使った。,,,,,★☆☆,,,🟡 標準
2878,flop,,動/句,,IELTS VOCAB,失敗する；どさりと倒れる,"The UX designer used the term ""flop"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「flop」という語を使った。,,,,,★☆☆,,,🟡 標準
2879,milestone,,名/他,,IELTS VOCAB,節目；里程標,The UX designer documented the milestone in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する節目、里程標を記録した。,,,,,★☆☆,,,🟡 標準
2880,paralysis,,名/他,,IELTS VOCAB,麻痺；停止,The UX designer documented the paralysis in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する麻痺、停止を記録した。,,,,,★☆☆,,,🟡 標準
2883,foresight,,名/他,,IELTS VOCAB,先見性；予見,The UX designer documented the foresight in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する先見性、予見を記録した。,,,,,★☆☆,,,🟡 標準
2884,painstaking,,形,,IELTS VOCAB,入念な；丹念な,The UX designer wrote a painstaking note about the research summary in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、リサーチ要約について「入念な、丹念な」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2885,recapture,,動/句,,IELTS VOCAB,を取り戻す；再逮捕,"The UX designer used the term ""recapture"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「recapture」という語を使った。,,,,,★☆☆,,,🟡 標準
2886,demolish,,動/句,,IELTS VOCAB,を取り壊す；破壊する,"The UX designer used the term ""demolish"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「demolish」という語を使った。,,,,,★☆☆,,,🟡 標準
2887,digit,,名/他,,IELTS VOCAB,数字；指,The UX designer documented the digit in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する数字、指を記録した。,,,,,★☆☆,,,🟡 標準
2891,nutrient,,名/他,,IELTS VOCAB,栄養素；栄養分,The UX designer documented the nutrient in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する栄養素、栄養分を記録した。,,,,,★☆☆,,,🟡 標準
2892,culprit,,名/他,,IELTS VOCAB,犯人；原因,The UX designer documented the culprit in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する犯人、原因を記録した。,,,,,★☆☆,,,🟡 標準
2893,spawn,,動/句,,IELTS VOCAB,を生み出す；産卵する,"The UX designer used the term ""spawn"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「spawn」という語を使った。,,,,,★☆☆,,,🟡 標準
2894,aptitude,,名/他,,IELTS VOCAB,適性；才能,The UX designer documented the aptitude in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する適性、才能を記録した。,,,,,★☆☆,,,🟡 標準
2895,anecdote,,名/他,,IELTS VOCAB,逸話；短い話,The UX designer documented the anecdote in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する逸話、短い話を記録した。,,,,,★☆☆,,,🟡 標準
2896,publicise,,動/句,,IELTS VOCAB,を宣伝する；公表する,"The UX designer used the term ""publicise"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「publicise」という語を使った。,,,,,★☆☆,,,🟡 標準
2897,longevity,,名/他,,IELTS VOCAB,長寿；長命,The UX designer documented the longevity in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する長寿、長命を記録した。,,,,,★☆☆,,,🟡 標準
2898,squeak,,名/他,,IELTS VOCAB,キーキー鳴く；きしむ音,"The UX designer used the term ""squeak"" when describing how to improve the settings page.",UXデザイナーは、設定画面を改善する方法を説明する際に「squeak」という語を使った。,,,,,★☆☆,,,🟡 標準
2899,weighty,,形,,IELTS VOCAB,重要な；重い；深刻な,The UX designer wrote a weighty note about the account setup flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アカウント設定フローについて「重要な、重い、深刻な」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2900,remnant,,名/他,,IELTS VOCAB,残余；名残,The UX designer documented the remnant in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する残余、名残を記録した。,,,,,★☆☆,,,🟡 標準
2901,perpetuate,,動/句,,IELTS VOCAB,を永続させる；を存続させる,"The UX designer used the term ""perpetuate"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「perpetuate」という語を使った。,,,,,★☆☆,,,🟡 標準
2902,assimilate,,動/句,,IELTS VOCAB,同化する；吸収する,"The UX designer used the term ""assimilate"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「assimilate」という語を使った。,,,,,★☆☆,,,🟡 標準
2903,carefree,,形,,IELTS VOCAB,のんきな；気楽な,The UX designer wrote a carefree note about the content guideline in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、コンテンツガイドラインについて「のんきな、気楽な」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2904,necessitate,,動/句,,IELTS VOCAB,を必要とする,"The UX designer used the term ""necessitate"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「necessitate」という語を使った。,,,,,★☆☆,,,🟡 標準
2906,diversify,,動/句,,IELTS VOCAB,を多様化する,"The UX designer used the term ""diversify"" when describing how to improve the dashboard layout.",UXデザイナーは、ダッシュボードレイアウトを改善する方法を説明する際に「diversify」という語を使った。,,,,,★☆☆,,,🟡 標準
2907,mediocre,,形,,IELTS VOCAB,平凡な；普通以下の,The UX designer wrote a mediocre note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「平凡な、普通以下の」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2908,glossary,,名/他,,IELTS VOCAB,用語集；語彙集,The UX designer documented the glossary in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する用語集、語彙集を記録した。,,,,,★☆☆,,,🟡 標準
2910,avalanche,,名/他,,IELTS VOCAB,雪崩；大量,The UX designer documented the avalanche in the mobile form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、モバイルフォームに関する雪崩、大量を記録した。,,,,,★☆☆,,,🟡 標準
2911,jolt,,動/句,,IELTS VOCAB,をゆさぶる；衝撃,"The UX designer used the term ""jolt"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「jolt」という語を使った。,,,,,★☆☆,,,🟡 標準
2912,refute,,動/句,,IELTS VOCAB,を論駁する；を否定する,"The UX designer used the term ""refute"" when describing how to improve the onboarding flow.",UXデザイナーは、オンボーディングフローを改善する方法を説明する際に「refute」という語を使った。,,,,,★☆☆,,,🟡 標準
2913,deflect,,動/句,,IELTS VOCAB,そらす；偏向する,"The UX designer used the term ""deflect"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「deflect」という語を使った。,,,,,★☆☆,,,🟡 標準
2915,encyclopaedia,,名/他,,IELTS VOCAB,百科事典,The UX designer documented the encyclopaedia in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する百科事典を記録した。,,,,,★☆☆,,,🟡 標準
2916,recalcitrant,,形,,IELTS VOCAB,反抗的な；手に負えない,The UX designer wrote a recalcitrant note about the research summary in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、リサーチ要約について「反抗的な、手に負えない」という意味合いのメモを書いた。,,,,,★☆☆,,,🟡 標準
2917,adversity,,名/他,,IELTS VOCAB,逆境；苦難,The UX designer documented the adversity in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する逆境、苦難を記録した。,,,,,★☆☆,,,🟡 標準
2918,astound,,動/句,,IELTS VOCAB,を仰天させる,"The UX designer used the term ""astound"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「astound」という語を使った。,,,,,★☆☆,,,🟡 標準
